Rank,brand,category,format,funnel_stage,copy,Hook Strength,Problem Agitation,Offer Clarity,CTA Strength,Social Proof,Brand Voice,Total Score,Word Count,Score %
1,Indē Wild,Skincare,Carousel,Conversion,Still breaking out despite a 10-step routine? The problem isn't effort — it's the wrong ingredients. Our Cica Calm Serum fixes your barrier in 14 days. ₹799. Free returns.,16,16,8,5,4,10,59,29,59.0
2,Oziva,Wellness,Reel,Conversion,"She lost 6kg in 90 days — without starving. Oziva Plant Protein + a simple workout plan. Your transformation starts at ₹1,299. Use OZIVA15 for 15% off.",7,8,9,15,7,10,56,27,56.0
3,Yoga Bar,F&B,Reel,Conversion,"Your 4pm vending machine run is costing you ₹150 and your energy. Switch to Yoga Bar Muesli — ₹99, 20g protein, ships in 2 days. Use code FIRSTBITE for 15% off.",11,4,11,15,4,10,55,31,55.0
4,Rage Coffee,F&B,Static,Conversion,"Cold brew at home in 5 minutes. Vitamin-fortified. Actually strong. Rage Coffee starter pack — ₹499, free shipping. Your morning just got an upgrade.",7,0,8,15,3,12,45,24,45.0
5,Bombay Shirt Company,Fashion,Carousel,Consideration,"A shirt that fits you perfectly — not the mannequin. Custom measurements, 500+ fabrics, delivered in 10 days. Starting ₹1,499.",7,0,5,15,4,10,41,20,41.0
6,Zivame,Fashion,Carousel,Conversion,"40% of women wear the wrong bra size. Our fit quiz takes 2 minutes. Find yours, feel the difference. ₹599 onwards + free exchanges forever.",11,4,5,10,0,10,40,25,40.0
7,Boldfit,Wellness,Static,Conversion,"Gym starter kit — resistance bands, shaker, and a 30-day plan. ₹799. Sold 50,000+ kits last month. What's your excuse now?",7,4,5,10,0,12,38,21,38.0
8,WOW Skin Science,Skincare,Reel,Awareness,She switched to WOW Apple Cider Vinegar face wash 30 days ago. Her skin? Unrecognisable. Watch her transformation 👇,7,0,0,10,7,10,34,19,34.0
9,Minimalist,Skincare,Carousel,Conversion,Swipe to build your routine. Every ingredient explained. Every product under ₹700. No more guessing what your skin actually needs.,4,0,5,10,3,12,34,20,34.0
10,Wellbeing Nutrition,Wellness,Carousel,Consideration,Most multivitamins pass through you unabsorbed. Ours melt on your tongue — 98% bioavailability. Swipe to see what you're actually missing.,7,0,0,10,3,12,32,21,32.0
11,Indē Wild,Skincare,Reel,Awareness,"Your skin is not a before photo. Turmeric. Bakuchiol. Adaptogens. Skincare rooted in Ayurveda, formulated for today. Try Indē Wild — free shipping on your first order.",7,0,5,10,0,10,32,27,32.0
12,Bewakoof,Fashion,Reel,Awareness,Why pay ₹2000 for a plain tee? Same cotton. Same fit. 60% less. Bewakoof — wear smart.,16,0,5,0,0,10,31,17,31.0
13,Bewakoof,Fashion,Static,Conversion,3 tees for ₹999. Oversized. Comfy. Delivered in 3 days. Sale ends tonight — don't say we didn't warn you.,4,0,8,5,4,10,31,20,31.0
14,The Whole Truth,F&B,Static,Awareness,You've been lied to by 'healthy' snacks for years. We're done with that. Real food. Real labels. The Whole Truth.,11,8,0,0,0,12,31,20,31.0
15,Licious,F&B,Reel,Conversion,Fresh. Never frozen. Cut to order. Licious chicken delivered in 90 minutes — marinated and ready to cook. Use FIRST50 for 50% off your first order.,0,4,6,10,0,10,30,26,30.0
16,Plum,Skincare,Static,Consideration,"100% vegan. 0% compromise. Plum Vitamin C serum — dermatologist tested, cruelty-free, and actually affordable. See the glow in 4 weeks or your money back.",4,0,3,0,12,10,29,25,29.0
17,Noise,Electronics,Reel,Awareness,"Your wrist deserves better. Noise ColorFit Pro 5 — AMOLED display, 7-day battery, 100+ sports modes. Starting ₹2,999. The smartwatch flex you've been waiting for.",4,0,5,10,0,10,29,25,29.0
